PageId,TagName,Tag Content
POTSALESET,POTSALESET_Reset_invoice_sequence_automatically_Desc,Automatically reset the invoice sequence number to 1 at the beginning of each month or year
POTSALESET,POTSALESET_Mark_default,Mark default
POTSALESET,POTSALESET_TAX_Settings_Info_1_P1,Each business location (outlet) can have only one active
POTSALESET,POTSALESET_Sure_you_want_to_delete_this_payment,Sure you want to delete this payment?
POTSALESET,POTSALESET_INVOICE_PRINT_SETTING_UPDATED_SUCCESSFULLY,Invoice print setting updated successfully
POTSALESET,GSTSETTINGHEADER,GST Number Setting
POTSALESET,POTSALESET_TAX_NAME_REQUIRE,Tax Name Required
POTSALESET,POTSALESET_DECEMBER,December
POTSALESET,POTSALESET_TAX_NUMBER_DEACTIVATED_SUCCESSFULLY,Tax number deactivated successfully
POTSALESET,POTSALESET_Invoice_prefix_Note,Note: Adding 'Inv-' as the prefix displays as '#Inv-01' along with the sequence number.
POTSALESET,POTSALESET_Discount_settings,Discount settings
POTSALESET,POTSALESET_Limit_Level,Limit Level
POTSALESET,POTSALESET_Choose_month_to_reset,Choose starting month to reset
POTSALESET,CASHIER_NAME,Cashier Name
POTSALESET,POTSALESET_Selected_user_restrictions_deleted_succe,Selected user restrictions deleted successfully
POTSALESET,POTSALESET_User_Selection,User Selection
POTSALESET,POTSALESET_Discount_Restriction_Summary,Discount Restriction Summary
POTSALESET,POTSALESET_Choose_the_details_to_print_on_the_invoice,Choose the details to print on the invoice
POTSALESET,POTSALESET_Tax_Setting,Tax Setting
POTSALESET,POTSALESET_TAX_NUMBER_ADDED_SUCCESSFULLY,Tax number added successfully
POTSALESET,GSTSETTINGLISTINACTIVE,Inactive
POTSALESET,POTSALESET_PRICE_INDICATED_FOR_PRODUCTS,The price indicated for products are [including/excluding] tax.
POTSALESET,SHOW_WITH_TAX,Show with Tax
POTSALESET,POTSALESET_TAX_Settings_Info_2_P2,number to add a new one.
POTSALESET,POTSALESET_TAX_Settings_Info_2_P1,Deactivate the current
POTSALESET,POTSALESET_LOGO_RIGHT,Display the logo in the top right corner
POTSALESET,TAXSETTINGADDTITLE,Add 
POTSALESET,POTSALESET_Configure_Discount_Restrictions,Configure Discount Restrictions
POTSALESET,POTSALESET_Tax_percentage,Tax percentage
POTSALESET,POTSALESET_Custom_Prefix_Tax,Custom Tax Name
POTSALESET,POTSALESET_INVOICE_SEQUENCE_RESET_SUCCESSFULLY,Invoice sequence reset successfully
POTSALESET,SAMPLE_AMOUNT,Amt
